min_support,PDO,max_rules,calibrator,acc,precision,recall,f1,auc,brier,objective
50.0,10,None,sigmoid,0.9695550351288056,0.9865125240847784,0.9642184557438794,0.9752380952380952,0.9956796277833168,0.020687733665023533,0.8794778739884891
0.01,10,None,isotonic,0.9707259953161592,0.9616788321167883,0.992467043314501,0.9768303985171455,0.9954260026936734,0.019485087050854038,0.8818080480291048
50.0,50,None,sigmoid,0.9672131147540983,0.9864603481624759,0.96045197740113,0.9732824427480916,0.995251088838747,0.02136716368443005,0.8781057577969142
50.0,30,None,sigmoid,0.9660421545667447,0.9826923076923076,0.9623352165725048,0.972407231208373,0.9951927842204381,0.021281692676332318,0.8781571230782476
10.0,10,None,isotonic,0.9707259953161592,0.9633699633699634,0.9905838041431262,0.9767873723305478,0.9951811232967764,0.02160388738137426,0.8804296879191275
0.005,10,None,isotonic,0.9730679156908665,0.9652014652014652,0.992467043314501,0.978644382544104,0.9951752928349455,0.021395176844548707,0.8811268542184048
50.0,10,None,isotonic,0.9707259953161592,0.9616788321167883,0.992467043314501,0.9768303985171455,0.9951665471421991,0.019688760606422436,0.8758583983063272
50.0,100,None,sigmoid,0.9672131147540983,0.9845857418111753,0.9623352165725048,0.9733333333333334,0.9951053272929749,0.02145961657652866,0.8780316708059462
0.01,10,None,sigmoid,0.9672131147540983,0.982725527831094,0.9642184557438794,0.973384030418251,0.9950907511383976,0.01967556889649125,0.879324312747893
0.005,10,None,sigmoid,0.9672131147540983,0.9808795411089866,0.9661016949152542,0.9734345351043643,0.9949391591307947,0.020035021711107315,0.8793184382516485
50.0,20,None,sigmoid,0.9672131147540983,0.9845857418111753,0.9623352165725048,0.9733333333333334,0.9947875671231919,0.02169831794057716,0.877846108929877
10.0,10,None,sigmoid,0.9672131147540983,0.9808795411089866,0.9661016949152542,0.9734345351043643,0.9947584148140374,0.02039004020872251,0.8793250110667269
0.01,50,None,sigmoid,0.9660421545667447,0.9826923076923076,0.9623352165725048,0.972407231208373,0.9946592969629126,0.020361462806238354,0.8783915475919152
50.0,50,None,isotonic,0.9707259953161592,0.9650735294117647,0.9887005649717514,0.9767441860465116,0.9946388903465044,0.020420257299619684,0.8758354229446945
0.01,50,None,isotonic,0.9707259953161592,0.9650735294117647,0.9887005649717514,0.9767441860465116,0.99460973803735,0.02059118892037313,0.8811583765378093
0.01,30,None,sigmoid,0.9660421545667447,0.9826923076923076,0.9623352165725048,0.972407231208373,0.9946039075755191,0.02035037128790833,0.8784006314154226
50.0,30,None,isotonic,0.9695550351288056,0.9650092081031307,0.9868173258003766,0.9757914338919925,0.9945747552663646,0.020512828649992352,0.8755846897865553
0.01,100,None,sigmoid,0.9660421545667447,0.9826923076923076,0.9623352165725048,0.972407231208373,0.9945689248045337,0.02047320748912759,0.8783068962235813
50.0,100,None,isotonic,0.9695550351288056,0.9650092081031307,0.9868173258003766,0.9757914338919925,0.9945456029572102,0.020751914851070627,0.8754295042515434
0.01,30,None,isotonic,0.9707259953161592,0.9650735294117647,0.9887005649717514,0.9767441860465116,0.994536857264464,0.02046461064952865,0.881316765787509
0.01,100,None,isotonic,0.9707259953161592,0.9650735294117647,0.9887005649717514,0.9767441860465116,0.9945251963408022,0.020729678513788465,0.8810308696548994
0.005,50,None,sigmoid,0.9672131147540983,0.9808795411089866,0.9661016949152542,0.9734345351043643,0.9945106201862249,0.020717309050491902,0.8788281894534945
0.01,20,None,sigmoid,0.9672131147540983,0.982725527831094,0.9642184557438794,0.973384030418251,0.9944902135698169,0.02072039270518783,0.8785700442185843
0.005,50,None,isotonic,0.9718969555035128,0.9668508287292817,0.9887005649717514,0.9776536312849162,0.9944289937205926,0.02173064972521964,0.8806672690894919
0.005,30,None,sigmoid,0.968384074941452,0.9827586206896551,0.9661016949152542,0.9743589743589743,0.9944202480278463,0.020700494480172228,0.879044474792631
