classifier,avg_rank,diff_from_control,z,p_raw,p_holm,significant
GAM,6.583333333333333,2.833333333333333,2.833333333333333,0.004606532263391774,0.03224572584374241,True
SLIM,6.083333333333333,2.333333333333333,2.333333333333333,0.019630657257290695,0.11778394354374416,False
FASTERRISK,5.083333333333333,1.333333333333333,1.333333333333333,0.18242243945173586,0.9121121972586793,False
FIGS,4.75,1.0,1.0,0.31731050786291415,1.0,False
EBM,2.8333333333333335,0.9166666666666665,0.9166666666666665,0.3593173383295707,1.0,False
EBM_LASSO,2.8333333333333335,0.9166666666666665,0.9166666666666665,0.3593173383295707,1.0,False
TREEGAM,4.083333333333333,0.33333333333333304,0.33333333333333304,0.7388826803635276,1.0,False
