classifier,avg_rank,diff_from_control,z,p_raw,p_holm,significant
GAM,1.0,4.416666666666667,4.416666666666667,1.0023462051342627e-05,7.016423435939838e-05,True
EBM_LASSO,2.9166666666666665,2.5000000000000004,2.5000000000000004,0.012419330651552245,0.07451598390931347,False
SLIM,7.833333333333333,2.416666666666666,2.416666666666666,0.01566335364289761,0.07831676821448806,False
EBM,3.5,1.916666666666667,1.916666666666667,0.055280292586020734,0.22112117034408293,False
FIGS,3.5833333333333335,1.8333333333333335,1.8333333333333335,0.06675301516963446,0.22112117034408293,False
TREEGAM,6.75,1.333333333333333,1.333333333333333,0.18242243945173586,0.3648448789034717,False
FASTERRISK,5.0,0.41666666666666696,0.41666666666666696,0.6769222390213792,0.6769222390213792,False
