classifier,avg_rank,diff_from_control,z,p_raw,p_holm,significant
SLIM,6.75,2.8333333333333335,2.8333333333333335,0.004606532263391765,0.03224572584374236,True
GAM,6.583333333333333,2.6666666666666665,2.6666666666666665,0.007660761135179473,0.045964566811076836,True
EBM,1.9583333333333333,1.9583333333333333,1.9583333333333333,0.05019091187903004,0.2509545593951502,False
FIGS,5.666666666666667,1.7500000000000004,1.7500000000000004,0.08011831372763406,0.32047325491053624,False
EBM_LASSO,2.6666666666666665,1.25,1.25,0.2112995473337107,0.6338986420011321,False
FASTERRISK,4.875,0.9583333333333335,0.9583333333333335,0.33789470042481007,0.6757894008496201,False
TREEGAM,3.5833333333333335,0.33333333333333304,0.33333333333333304,0.7388826803635276,0.7388826803635276,False
