Dataset,RulesFrom,Model,Accuracy (%),Precision (%),Recall (%),F1 Score (%),Balanced Accuracy (%),MCC (%),Error Rate (%),AUC (%),Time Training (s)
german,DT,TREEGAM,70.5,0.0,0.0,0.0,50.0,0.0,29.500000000000004,76.61377569419402,4.807120323181152
german,RF,EBM,72.5,55.88235294117647,32.20338983050847,40.86021505376344,60.78254597908403,26.181430632013498,27.500000000000004,78.83159033537683,1.9677050113677979
german,RF,EBMLASSO,70.0,0.0,0.0,0.0,50.0,0.0,30.000000000000004,72.875,1.853945255279541
german,RF,FIGS,75.0,63.63636363636363,35.59322033898305,45.65217391304348,63.541291020555356,33.27441463319894,25.0,75.81440076932323,3.801821231842041
german,RF,GAM,70.0,0.0,0.0,0.0,50.0,0.0,30.000000000000004,66.5595238095238,0.03500699996948242
german,RF,SLIM,70.5,51.515151515151516,28.333333333333332,36.55913978494624,58.45238095238094,20.870530858929996,29.500000000000004,58.94047619047619,0.9254941940307617
german,RF,TREEGAM,72.0,100.0,5.084745762711865,9.67741935483871,52.54237288135594,19.077043271187172,28.000000000000004,79.46868614016108,2.1443729400634766
heart,DT,EBM,83.60655737704919,77.5,96.875,86.11111111111111,82.92025862068965,69.20342342419846,16.393442622950815,89.97844827586208,0.37461113929748535
heart,DT,EBMLASSO,73.77049180327869,67.3469387755102,100.0,80.48780487804879,71.42857142857143,53.7242717595436,26.22950819672131,86.09307359307358,0.3710291385650635
heart,DT,FIGS,78.68852459016394,78.78787878787878,81.25,80.0,78.55603448275862,57.23555466420381,21.311475409836067,89.97844827586208,3.6924571990966797
heart,DT,GAM,77.04918032786885,70.2127659574468,100.0,82.5,75.0,59.25063964103966,22.95081967213115,81.22294372294373,0.027919769287109375
heart,DT,SLIM,70.49180327868852,72.72727272727273,72.72727272727273,72.72727272727273,70.29220779220779,40.58441558441558,29.508196721311474,70.29220779220779,0.02077507972717285
heart,DT,TREEGAM,78.68852459016394,78.78787878787878,81.25,80.0,78.55603448275862,57.23555466420381,21.311475409836067,89.97844827586208,3.6992082595825195
heart,RF,EBM,88.52459016393442,87.87878787878788,90.625,89.23076923076924,88.41594827586206,76.99801976524022,11.475409836065575,90.94827586206897,5.218029022216797
heart,RF,EBMLASSO,75.40983606557377,72.5,87.87878787878788,79.45205479452055,74.2965367965368,50.96484554419892,24.590163934426236,85.71428571428572,2.4619638919830322
heart,RF,FIGS,85.24590163934425,84.84848484848484,87.5,86.15384615384616,85.12931034482759,70.41053139822809,14.754098360655743,90.4094827586207,3.8937530517578125
heart,RF,GAM,83.60655737704919,79.48717948717949,93.93939393939394,86.11111111111111,82.68398268398269,67.8355435247432,16.393442622950815,83.06277056277057,0.022233963012695312
