method,SCORE,stability,robustness,performance,time_sec,n_records,n_features,dimension
select_kbest_chi2,33.958630041106545,0.93,0.73,0.99,0.009,4269,13,55497
select_kbest,25.626916840263313,0.93,0.73,0.99,0.012,4269,13,55497
logistic_regression_l2,14.791034045997808,0.93,0.13,0.98,0.021,4269,13,55497
logistic_regression_l1,2.3111707989648544,0.93,0.05,0.99,0.165,4269,13,55497
catboost,2.0441411626675112,0.93,0.38,0.99,0.202,4269,13,55497
lightgbm,1.9573423472448965,0.93,0.41,0.98,0.215,4269,13,55497
xgboost,1.59861185903253,0.93,0.24,0.99,0.281,4269,13,55497
select_kbest_mi,1.276648694051074,0.93,0.0,0.99,0.378,4269,13,55497
random_forest,0.8852255457081442,0.93,0.35,0.99,0.903,4269,13,55497
