method,SCORE,stability,robustness,performance,time_sec,n_records,n_features,dimension
select_kbest_chi2,27.77324815925825,0.68,0.77,0.71,0.011,891,112,99792
logistic_regression_l2,21.720040925648167,0.43,0.0,0.69,0.014,891,112,99792
logistic_regression_l1,19.052828198237606,0.39,0.08,0.7,0.016,891,112,99792
select_kbest,17.19074079217821,0.79,0.77,0.71,0.018,891,112,99792
catboost,2.0943425915242226,0.88,0.24,0.74,0.182,891,112,99792
lightgbm,2.0542931889249263,1.0,0.24,0.73,0.189,891,112,99792
xgboost,0.8996977505175504,0.66,0.19,0.72,0.584,891,112,99792
random_forest,0.8460772280616164,0.88,0.45,0.72,0.824,891,112,99792
select_kbest_mi,0.7709991666680556,0.39,-0.1,0.71,0.6,891,112,99792
