method,SCORE,stability,robustness,performance,time_sec,n_records,n_features,dimension
select_kbest_chi2,21.970040925648167,0.94,0.77,0.67,0.014,10459,23,240557
select_kbest,9.126183680466271,1.0,0.77,0.67,0.035,10459,23,240557
logistic_regression_l2,4.0584919696101265,0.85,0.16,0.66,0.082,10459,23,240557
lightgbm,1.3775713385463357,0.94,0.52,0.66,0.338,10459,23,240557
catboost,1.025234140717371,0.94,0.24,0.67,0.51,10459,23,240557
xgboost,0.884444256488583,0.68,0.0,0.67,0.548,10459,23,240557
select_kbest_mi,0.6552082984084251,0.82,0.2,0.67,1.199,10459,23,240557
logistic_regression_l1,0.6164779649214976,0.85,0.2,0.66,1.439,10459,23,240557
random_forest,0.5920376350165698,1.0,0.29,0.67,2.255,10459,23,240557
