method,SCORE,stability,robustness,performance,time_sec,n_records,n_features,dimension
select_kbest_chi2,16.307642703015627,0.94,0.77,0.59,0.019,7043,50,352150
select_kbest,9.588633617163115,1.0,0.62,0.58,0.033,7043,50,352150
logistic_regression_l1,2.680980800153599,0.52,0.0,0.59,0.125,7043,50,352150
logistic_regression_l2,2.121695501791166,0.66,0.24,0.59,0.17,7043,50,352150
lightgbm,1.4213343086820118,0.85,0.09,0.59,0.284,7043,50,352150
catboost,1.017152112615114,0.58,0.0,0.6,0.416,7043,50,352150
xgboost,1.0054537057905781,0.63,0.23,0.59,0.457,7043,50,352150
random_forest,0.6689724778391828,0.94,0.24,0.59,1.172,7043,50,352150
select_kbest_mi,0.5591500713369528,0.82,0.19,0.58,1.638,7043,50,352150
