method,SCORE,stability,robustness,performance,time_sec,n_records,n_features,dimension
select_kbest,60.54800239952009,0.93,0.73,0.76,0.005,303,13,3939
logistic_regression_l2,60.466002399520086,0.93,0.32,0.76,0.005,303,13,3939
select_kbest_chi2,43.40802128267391,0.93,0.73,0.75,0.007,303,13,3939
logistic_regression_l1,37.966313085864265,0.93,0.27,0.77,0.008,303,13,3939
select_kbest_mi,5.957446282794858,0.93,0.43,0.77,0.055,303,13,3939
lightgbm,4.484946667377769,0.93,0.34,0.77,0.075,303,13,3939
catboost,3.6309674482557472,0.93,0.46,0.76,0.096,303,13,3939
xgboost,2.42274180965689,0.93,0.11,0.76,0.151,303,13,3939
random_forest,0.9817744381192831,0.93,0.59,0.76,0.667,303,13,3939
