method,SCORE,stability,robustness,performance,time_sec,n_records,n_features,dimension
logistic_regression_l2,37.99231308586427,0.79,0.27,0.95,0.008,569,19,10811
select_kbest_chi2,30.633000299970004,1.0,0.77,0.94,0.01,569,19,10811
select_kbest,27.90624815925825,1.0,0.77,0.94,0.011,569,19,10811
logistic_regression_l1,20.51166675554963,0.94,0.2,0.95,0.015,569,19,10811
select_kbest_mi,3.5485930816205666,1.0,0.77,0.94,0.103,569,19,10811
lightgbm,1.9442683610224103,0.82,0.23,0.95,0.207,569,19,10811
catboost,1.7445031577739436,0.87,0.28,0.95,0.244,569,19,10811
xgboost,1.202889824361869,0.79,0.17,0.96,0.415,569,19,10811
random_forest,0.9508267161187798,0.9,0.34,0.95,0.718,569,19,10811
