classifier,avg_rank,diff_from_control,z,p_raw,p_holm,significant
EBM,2.75,1.916666666666667,1.916666666666667,0.055280292586020734,0.38696204810214513,False
EBM_LASSO,2.8333333333333335,1.8333333333333335,1.8333333333333335,0.06675301516963446,0.4005180910178068,False
GAM,6.416666666666667,1.75,1.75,0.08011831372763417,0.40059156863817086,False
SLIM,5.916666666666667,1.25,1.25,0.2112995473337107,0.8451981893348428,False
TREEGAM,4.0,0.666666666666667,0.666666666666667,0.5049850750938456,1.0,False
FASTERRISK,5.0,0.33333333333333304,0.33333333333333304,0.7388826803635276,1.0,False
FIGS,4.416666666666667,0.25,0.25,0.8025873486341526,1.0,False
