classifier,avg_rank,diff_from_control,z,p_raw,p_holm,significant
SLIM,7.833333333333333,4.416666666666666,4.416666666666666,1.0023462051342644e-05,7.01642343593985e-05,True
TREEGAM,6.833333333333333,3.4166666666666665,3.4166666666666665,0.0006339284698395381,0.0038035708190372287,True
GAM,1.0,2.4166666666666665,2.4166666666666665,0.015663353642897587,0.07831676821448794,False
FASTERRISK,5.416666666666667,2.0000000000000004,2.0000000000000004,0.045500263896358355,0.18200105558543342,False
FIGS,4.166666666666667,0.7500000000000004,0.7500000000000004,0.4532547047537361,1.0,False
EBM,3.9166666666666665,0.5,0.5,0.6170750774519738,1.0,False
EBM_LASSO,3.4166666666666665,0.0,0.0,1.0,1.0,False
