classifier,avg_rank,diff_from_control,z,p_raw,p_holm,significant
EBM,2.0416666666666665,2.2916666666666665,2.2916666666666665,0.021924885298341776,0.15347419708839244,False
SLIM,6.583333333333333,2.25,2.25,0.02444894531008939,0.15347419708839244,False
GAM,6.5,2.166666666666667,2.166666666666667,0.03026028002047161,0.15347419708839244,False
EBM_LASSO,2.6666666666666665,1.6666666666666665,1.6666666666666665,0.0955807045456294,0.3823228181825176,False
FIGS,5.75,1.416666666666667,1.416666666666667,0.15658040708963475,0.4697412212689043,False
TREEGAM,3.5,0.833333333333333,0.833333333333333,0.40465676192728617,0.8093135238545723,False
FASTERRISK,4.625,0.29166666666666696,0.29166666666666696,0.770541497710554,0.8093135238545723,False
