method,SCORE,stability,robustness,performance,time_sec,n_records,n_features,dimension
select_kbest_chi2,7.601581939954885,0.87,0.77,0.99,0.043,7214,232,1673648
select_kbest,3.6269700002999965,0.88,0.77,0.99,0.1,7214,232,1673648
logistic_regression_l2,2.1160940225779044,0.41,0.0,1.0,0.173,7214,232,1673648
logistic_regression_l1,1.5764714663830701,0.43,0.0,1.0,0.252,7214,232,1673648
lightgbm,1.1701557884139588,0.87,0.11,1.0,0.445,7214,232,1673648
catboost,1.0418507263588621,0.82,0.09,0.99,0.533,7214,232,1673648
random_forest,0.8411910707164212,1.0,0.44,0.99,1.171,7214,232,1673648
xgboost,0.763308090770482,0.58,0.09,1.0,0.911,7214,232,1673648
select_kbest_mi,0.6255554506418903,0.94,0.51,0.99,7.781,7214,232,1673648
