method,SCORE,stability,robustness,performance,time_sec,n_records,n_features,dimension
select_kbest_chi2,4.390104537121319,0.9,0.77,0.7,0.078,32561,88,2865368
select_kbest,3.1033513360056273,1.0,0.77,0.69,0.118,32561,88,2865368
logistic_regression_l2,1.0439100571517783,0.79,0.23,0.69,0.474,32561,88,2865368
lightgbm,0.8761715208889412,0.9,0.12,0.73,0.662,32561,88,2865368
catboost,0.6968684941327932,0.71,0.04,0.73,0.915,32561,88,2865368
xgboost,0.6469751838260385,0.71,0.05,0.74,1.099,32561,88,2865368
random_forest,0.5884926871687081,0.94,0.56,0.73,4.317,32561,88,2865368
select_kbest_mi,0.5423548374609782,0.94,0.58,0.73,15.5,32561,88,2865368
logistic_regression_l1,0.4432231309350752,0.82,0.16,0.71,8.766,32561,88,2865368
