method,SCORE,stability,robustness,performance,time_sec,n_records,n_features,dimension
select_kbest_chi2,30.437000299970006,0.68,0.77,0.5,0.01,1000,61,61000
logistic_regression_l2,25.27391684026331,0.5,0.1,0.52,0.012,1000,61,61000
logistic_regression_l1,17.944020822304566,0.54,0.14,0.54,0.017,1000,61,61000
select_kbest,17.101740792178212,0.66,0.77,0.5,0.018,1000,61,61000
lightgbm,1.812581026563595,0.66,0.24,0.54,0.204,1000,61,61000
catboost,1.613045803223063,0.68,0.21,0.51,0.234,1000,61,61000
xgboost,1.1916744296530577,0.39,0.0,0.39,0.301,1000,61,61000
select_kbest_mi,1.005356836242147,0.43,0.0,0.52,0.393,1000,61,61000
random_forest,0.7855035142228803,0.74,0.36,0.53,0.738,1000,61,61000
