method,SCORE,stability,robustness,performance,time_sec,n_records,n_features,dimension
select_kbest_chi2,10.97847088031447,0.9,0.77,1.0,0.029,8124,112,909888
select_kbest,7.446026863025841,0.9,0.77,0.98,0.044,8124,112,909888
logistic_regression_l2,3.4225930816205663,0.94,0.11,1.0,0.103,8124,112,909888
logistic_regression_l1,2.343342463711405,0.9,0.0,1.0,0.161,8124,112,909888
lightgbm,1.9964536489556461,0.79,0.0,1.0,0.195,8124,112,909888
xgboost,1.1974945391331562,0.82,0.0,1.0,0.409,8124,112,909888
catboost,1.1229329417454632,0.61,0.0,1.0,0.428,8124,112,909888
random_forest,0.8307403370343779,0.94,0.52,0.99,1.241,8124,112,909888
select_kbest_mi,0.6326392075934123,0.94,0.39,0.98,4.13,8124,112,909888
