method,SCORE,stability,robustness,performance,time_sec,n_records,n_features,dimension
select_kbest_chi2,21.981040925648166,0.83,0.62,0.88,0.014,19020,10,190200
select_kbest,8.4485290913397,0.83,0.62,0.88,0.038,19020,10,190200
logistic_regression_l2,5.191829177314645,0.83,0.0,0.88,0.063,19020,10,190200
lightgbm,1.2511917953700378,0.83,0.23,0.88,0.387,19020,10,190200
catboost,1.1615455010719316,0.83,0.12,0.88,0.424,19020,10,190200
xgboost,0.8809371854257463,0.83,0.18,0.88,0.723,19020,10,190200
select_kbest_mi,0.8233237885790006,0.83,0.48,0.88,1.009,19020,10,190200
logistic_regression_l1,0.7333363970309434,0.83,0.0,0.88,0.989,19020,10,190200
random_forest,0.49576658340708113,0.83,0.1,0.88,6.555,19020,10,190200
